MAC Address,SSID
84-B2-61-15-36-33,UTTpersonnels
84-B2-61-15-36-3F,UTT
AC-2A-A1-7E-E3-41,UTT
5C-5A-C7-27-33-2E,eduroam
00-27-E3-27-B4-4E,UTT
5C-5A-C7-27-33-2F,UTT
5C-5A-C7-27-33-2C,UTTpersonnels
5C-5A-C7-27-33-2D,UTTetudiants
5C-5A-C7-28-72-0E,eduroam
5C-5A-C7-28-72-0F,UTT
5C-5A-C7-28-72-0D,UTTetudiants
5C-5A-C7-28-72-0C,UTTpersonnels
84-B2-61-15-03-4E,UTT
48-83-C7-19-27-10,Bbox-FBD94A70
5C-5A-C7-28-87-0E,eduroam
5C-5A-C7-28-87-0F,UTT
5C-5A-C7-28-87-0D,UTTetudiants
5C-5A-C7-28-87-0C,UTTpersonnels
AC-2A-A1-7F-2A-41,UTT
AC-2A-A1-7F-2A-48,UTTpersonnels
AC-2A-A1-7F-2A-42,eduroam
AC-2A-A1-7F-2A-47,UTTetudiants
5C-5A-C7-28-72-41,eduroam
5C-5A-C7-36-31-41,UTT
E4-AA-5D-3E-CE-ED,eduroam
0E-C6-9F-E4-23-F5,FreeWifi_secure
00-27-E3-07-B4-B1,UTT
00-27-E3-27-84-A2,eduroam
F4-4E-05-0E-09-99,UTTpersonnels
00-27-E3-07-B4-B2,eduroam
5C-5A-C7-29-CC-48,UTTpersonnels
00-27-E3-07-B4-B7,UTTetudiants
00-27-E3-27-84-A7,UTTetudiants
5C-5A-C7-36-31-48,UTTetudiants
00-27-E3-27-84-A1,UTT
5C-5A-C7-36-31-47,UTTpersonnels
5C-5A-C7-36-31-42,eduroam
5C-5A-C7-28-72-40,UTT
5C-5A-C7-28-72-42,UTTetudiants
5C-5A-C7-28-72-43,UTTpersonnels
00-27-E3-07-A9-87,UTTetudiants
00-27-E3-07-A9-88,UTTpersonnels
00-27-E3-07-A9-82,eduroam
5C-5A-C7-28-85-E2,eduroam
5C-5A-C7-28-85-E7,UTTetudiants
00-27-E3-27-B4-4D,eduroam
5C-5A-C7-28-85-E1,UTT
AC-2A-A1-7E-E3-4E,UTT
5C-5A-C7-0F-F8-E1,eduroam
5C-5A-C7-0F-F8-E3,UTTpersonnels
70-DB-98-EE-38-B8,UTTpersonnels
5C-5A-C7-36-31-4D,eduroam
5C-5A-C7-36-31-4E,UTT
70-DB-98-EE-38-B2,eduroam
